Link 0: href=None, class=None, text='Skip to main content'
Link 1: href=/edge?form=MT016O, class=None, text='Microsoft Edge'
Link 2: href=https://www.microsoft.com/surface/devices/surface-pro, class=c-uhff-link, text='Surface Pro'
Link 3: href=https://www.microsoft.com/surface/devices/surface-laptop, class=c-uhff-link, text='Surface Laptop'
Link 4: href=https://www.microsoft.com/en-us/surface/devices/surface-laptop-ultra?icid=DSM_Footer_WhatsNew_SurfaceLaptopUltra, class=c-uhff-link, text='Surface Laptop Ultra'
Link 5: href=https://www.microsoft.com/en-us/surface/devices/surface-rtx-spark-dev-box?icid=DSM_Footer_WhatsNew_SurfaceRTXSparkDevBox, class=c-uhff-link, text='Surface RTX Spark Dev Box'
Link 6: href=https://www.microsoft.com/en-us/microsoft-copilot/organizations?icid=DSM_Footer_CopilotOrganizations, class=c-uhff-link, text='Copilot for organizations'
Link 7: href=https://www.microsoft.com/en-us/microsoft-copilot/for-individuals?form=MY02PT&OCID=GE_web_Copilot_Free_868g3t5nj, class=c-uhff-link, text='Copilot for personal use'
Link 8: href=https://www.microsoft.com/en-us/microsoft-products-and-apps, class=c-uhff-link, text='Explore Microsoft products'
Link 9: href=https://www.microsoft.com/en-us/windows/apps-for-windows?icid=DSM_Footer_WhatsNew_Windows11apps, class=c-uhff-link, text='Windows 11 apps'
Link 10: href=https://account.microsoft.com/, class=c-uhff-link, text='Account profile'
Link 11: href=https://www.microsoft.com/en-us/download, class=c-uhff-link, text='Download Center'
Link 12: href=https://go.microsoft.com/fwlink/?linkid=2139749, class=c-uhff-link, text='Microsoft Store support'
Link 13: href=https://www.microsoft.com/en-us/store/b/returns, class=c-uhff-link, text='Returns'
Link 14: href=https://www.microsoft.com/en-us/store/b/order-tracking, class=c-uhff-link, text='Order tracking'
Link 15: href=https://www.microsoft.com/en-us/store/b/certified-refurbished-products, class=c-uhff-link, text='Certified Refurbished'
Link 16: href=https://www.microsoft.com/en-us/store/b/why-microsoft-store?icid=footer_why-msft-store_7102020, class=c-uhff-link, text='Microsoft Store Promise'
Link 17: href=https://www.microsoft.com/en-us/store/b/payment-financing-options?icid=footer_financing_vcc, class=c-uhff-link, text='Flexible Payments'
Link 18: href=https://www.microsoft.com/en-us/education, class=c-uhff-link, text='Microsoft in education'
Link 19: href=https://www.microsoft.com/en-us/education/devices/overview, class=c-uhff-link, text='Devices for education'
Link 20: href=https://www.microsoft.com/en-us/education/products/teams, class=c-uhff-link, text='Microsoft Teams for Education'
Link 21: href=https://www.microsoft.com/en-us/education/products/microsoft-365, class=c-uhff-link, text='Microsoft 365 Education'
Link 22: href=https://www.microsoft.com/education/how-to-buy, class=c-uhff-link, text='How to buy for your school'
Link 23: href=https://education.microsoft.com/, class=c-uhff-link, text='Educator training and development'
Link 24: href=https://www.microsoft.com/en-us/store/b/education, class=c-uhff-link, text='Deals for students and parents'
Link 25: href=https://www.microsoft.com/en-us/education/ai-in-education, class=c-uhff-link, text='AI for education'
Link 26: href=https://www.microsoft.com/en-us/ai?icid=DSM_Footer_AI, class=c-uhff-link, text='Microsoft AI'
Link 27: href=https://www.microsoft.com/en-us/security, class=c-uhff-link, text='Microsoft Security'
Link 28: href=https://www.microsoft.com/en-us/dynamics-365, class=c-uhff-link, text='Dynamics 365'
Link 29: href=https://www.microsoft.com/en-us/microsoft-365/business, class=c-uhff-link, text='Microsoft 365'
Link 30: href=https://www.microsoft.com/en-us/power-platform, class=c-uhff-link, text='Microsoft Power Platform'
Link 31: href=https://www.microsoft.com/en-us/microsoft-teams/group-chat-software, class=c-uhff-link, text='Microsoft Teams'
Link 32: href=https://www.microsoft.com/en-us/microsoft-365-copilot?icid=DSM_Footer_Microsoft365Copilot, class=c-uhff-link, text='Microsoft 365 Copilot'
Link 33: href=https://www.microsoft.com/en-us/store/b/business?icid=CNavBusinessStore, class=c-uhff-link, text='Small Business'
Link 34: href=https://azure.microsoft.com/en-us/, class=c-uhff-link, text='Azure'
Link 35: href=https://developer.microsoft.com/en-us/, class=c-uhff-link, text='Microsoft Developer'
Link 36: href=https://learn.microsoft.com/, class=c-uhff-link, text='Microsoft Learn'
Link 37: href=https://www.microsoft.com/software-development-companies/offers-benefits/isv-success?icid=DSM_Footer_SupportAIMarketplace&ocid=cmm3atxvn98, class=c-uhff-link, text='Support for AI marketplace apps'
Link 38: href=https://techcommunity.microsoft.com/, class=c-uhff-link, text='Microsoft Tech Community'
Link 39: href=https://marketplace.microsoft.com?icid=DSM_Footer_Marketplace&ocid=cmm3atxvn98, class=c-uhff-link, text='Microsoft Marketplace'
Link 40: href=https://www.microsoft.com/software-development-companies?icid=DSM_Footer_SoftwareCompanies&ocid=cmm3atxvn98, class=c-uhff-link, text='Software companies'
Link 41: href=https://visualstudio.microsoft.com/, class=c-uhff-link, text='Visual Studio'
Link 42: href=https://careers.microsoft.com/, class=c-uhff-link, text='Careers'
Link 43: href=https://www.microsoft.com/about, class=c-uhff-link, text='About Microsoft'
Link 44: href=https://news.microsoft.com/source/?icid=DSM_Footer_Company_CompanyNews, class=c-uhff-link, text='Company news'
Link 45: href=https://www.microsoft.com/en-us/privacy?icid=DSM_Footer_Company_Privacy, class=c-uhff-link, text='Privacy at Microsoft'
Link 46: href=https://www.microsoft.com/investor/default.aspx, class=c-uhff-link, text='Investors'
Link 47: href=https://www.microsoft.com/en-us/diversity/default?icid=DSM_Footer_Company_Diversity, class=c-uhff-link, text='Diversity and inclusion'
Link 48: href=https://www.microsoft.com/en-us/accessibility, class=c-uhff-link, text='Accessibility'
Link 49: href=https://www.microsoft.com/en-us/corporate-responsibility/sustainability?icid=DSM_Footer_Sustainability, class=c-uhff-link, text='Sustainability'
Link 50: href=https://www.microsoft.com/en-us/edge/worldwide, class=c-uhff-link c-uhff-lang-selector c-glyph glyph-world, text='English (United States)'
Link 51: href=https://aka.ms/yourcaliforniaprivacychoices, class=c-uhff-link c-uhff-ccpa, text='Your Privacy Choices'
Link 52: href=https://go.microsoft.com/fwlink/?linkid=2259814, class=c-uhff-link c-uhff-consumer, text='Consumer Health Privacy'
Link 53: href=https://www.microsoft.com/en-us/sitemap1.aspx, class=c-uhff-link, text='Sitemap'
Link 54: href=https://support.microsoft.com/contactus, class=c-uhff-link, text='Contact Microsoft'
Link 55: href=https://go.microsoft.com/fwlink/?LinkId=521839, class=c-uhff-link, text='Privacy'
Link 56: href=#, class=c-uhff-link, text='Manage cookies'
Link 57: href=https://go.microsoft.com/fwlink/?LinkID=206977, class=c-uhff-link, text='Terms of use'
Link 58: href=https://go.microsoft.com/fwlink/?linkid=2196228, class=c-uhff-link, text='Trademarks'
Link 59: href=https://go.microsoft.com/fwlink/?linkid=2196227, class=c-uhff-link, text='Safety & eco'
Link 60: href=https://www.microsoft.com/en-us/legal/compliance/recycling, class=c-uhff-link, text='Recycling'
Link 61: href=https://choice.microsoft.com, class=c-uhff-link, text='About our ads'
